器件型号,器件名称,器件名称(中文),外形,描述 / 用途说明）,尺寸,长 mm,宽 mm,高 mm,质量 g,核心材料,安装面,CAD路径,导热率W/(m·K),辐射率,热阻K/W,接触热阻K/W,比热容J/(kg·K),最高工作温度,最低工作温度,图片路径,备注,主模式功耗,校准模式功耗,冷却系统功耗,工作电压,datasheet path,器件种类,所属分系统,器件来源,本体尺寸长,本体尺寸宽,本体尺寸高,质心 X 坐标,质心 Y 坐标,质心 Z 坐标,工作相对湿度范围,储存温度范围,储存相对湿度范围,接触面积,安装面粗糙度,Unnamed: 41,STEP长,STEP宽,STEP高,Rotated CAD Path,CAD_rotated_path,器件ID,CAD_MAJOR_PATH,CAD_LOCAL_MOUNT_FACE
AIRBUS-REFINED-092_cubesat_payload_box_1_ymin_side,Cubesat payload box 1 (ymin_side),载荷盒体,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=cubesat_payloads; role=cubesat_payload_box; coordinates are in Final Assembly global mm.,252.000×222.000×262.000 mm,252.000003,222.0,262.000003,293.147,aluminum_6061_estimate,+Z,refined_coordinate_steps/cubesat_payloads/092_cubesat_payload_box__inst001.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.,0.0,,,,,载荷/机构,载荷分系统,Airbus STEP refined coordinate split,252.000003,222.0,262.000003,600.0,110.999998,452.5,,,,55944.000666,,,252.000003,222.0,262.000003,refined_coordinate_steps/cubesat_payloads/092_cubesat_payload_box__inst001.step,refined_coordinate_steps/cubesat_payloads/092_cubesat_payload_box__inst001.step,AIRBUS-REFINED-092,refined_coordinate_steps/cubesat_payloads/092_cubesat_payload_box__inst001.step,
AIRBUS-REFINED-093_cubesat_payload_box_2_ymax_side,Cubesat payload box 2 (ymax_side),载荷盒体,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=cubesat_payloads; role=cubesat_payload_box; coordinates are in Final Assembly global mm.,252.000×222.000×262.000 mm,252.000003,222.0,262.000003,293.147,aluminum_6061_estimate,+Z,refined_coordinate_steps/cubesat_payloads/093_cubesat_payload_box__inst002.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.,0.0,,,,,载荷/机构,载荷分系统,Airbus STEP refined coordinate split,252.000003,222.0,262.000003,600.0,1089.000002,452.5,,,,55944.000666,,,252.000003,222.0,262.000003,refined_coordinate_steps/cubesat_payloads/093_cubesat_payload_box__inst002.step,refined_coordinate_steps/cubesat_payloads/093_cubesat_payload_box__inst002.step,AIRBUS-REFINED-093,refined_coordinate_steps/cubesat_payloads/093_cubesat_payload_box__inst002.step,
AIRBUS-REFINED-108_debris_collection_assembly,Debris collection assembly,碎片收集组件,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=debris_collection; role=debris_collection_assembly; coordinates are in Final Assembly global mm.,488.351×488.351×901.297 mm,488.3508,488.3508,901.297346,5851.94,aluminum_6061_estimate,+Z,refined_coordinate_steps/debris_collection/108_debris_collection_assembly__inst001.step,,,,,,,,,"Updated after moving middle spring/collection subassembly down by 170 mm in low-capacity STEP; isolated curved spring solid removed; active CAD is 1.229 MiB, valid, 75 solids/408 faces; bbox/coordinates read from current STEP.",0.0,,,,,载荷/机构,载荷分系统,Airbus STEP refined coordinate split,488.3508,488.3508,901.297346,599.397055,600.150736,450.077509,,,,238486.516369,,,488.3508,488.3508,901.297346,refined_coordinate_steps/debris_collection/108_debris_collection_assembly__inst001.step,refined_coordinate_steps/debris_collection/108_debris_collection_assembly__inst001.step,AIRBUS-REFINED-108,refined_coordinate_steps/debris_collection/108_debris_collection_assembly__inst001.step,
AIRBUS-REFINED-123_drive_train_frame_1,Drive train frame 1,传动支架,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=drive_train; role=drive_train_frame; coordinates are in Final Assembly global mm.,118.005×180.005×804.005 mm,118.004614,180.004614,804.004614,1366.253,aluminum_steel_motor_assembly_estimate,+Z,refined_coordinate_steps/drive_train/123_drive_train_frame__inst001.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.,0.0,,,,,传动机构,机构分系统,Airbus STEP refined coordinate split,118.004614,180.004614,804.004614,600.5,329.633093,407.035458,,,,21241.374993,,,118.004614,180.004614,804.004614,refined_coordinate_steps/drive_train/123_drive_train_frame__inst001.step,refined_coordinate_steps/drive_train/123_drive_train_frame__inst001.step,AIRBUS-REFINED-123,refined_coordinate_steps/drive_train/123_drive_train_frame__inst001.step,
AIRBUS-REFINED-124_drive_train_frame_2,Drive train frame 2,传动支架,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=drive_train; role=drive_train_frame; coordinates are in Final Assembly global mm.,180.005×118.005×804.005 mm,180.004614,118.004614,804.004614,1366.253,aluminum_steel_motor_assembly_estimate,+Z,refined_coordinate_steps/drive_train/124_drive_train_frame__inst002.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.,0.0,,,,,传动机构,机构分系统,Airbus STEP refined coordinate split,180.004614,118.004614,804.004614,870.366907,600.5,407.035458,,,,21241.374993,,,180.004614,118.004614,804.004614,refined_coordinate_steps/drive_train/124_drive_train_frame__inst002.step,refined_coordinate_steps/drive_train/124_drive_train_frame__inst002.step,AIRBUS-REFINED-124,refined_coordinate_steps/drive_train/124_drive_train_frame__inst002.step,
AIRBUS-REFINED-125_drive_train_frame_3,Drive train frame 3,传动支架,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=drive_train; role=drive_train_frame; coordinates are in Final Assembly global mm.,118.005×180.005×804.005 mm,118.004614,180.004614,804.004614,1366.253,aluminum_steel_motor_assembly_estimate,+Z,refined_coordinate_steps/drive_train/125_drive_train_frame__inst003.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.,0.0,,,,,传动机构,机构分系统,Airbus STEP refined coordinate split,118.004614,180.004614,804.004614,599.5,870.366907,407.035458,,,,21241.374993,,,118.004614,180.004614,804.004614,refined_coordinate_steps/drive_train/125_drive_train_frame__inst003.step,refined_coordinate_steps/drive_train/125_drive_train_frame__inst003.step,AIRBUS-REFINED-125,refined_coordinate_steps/drive_train/125_drive_train_frame__inst003.step,
AIRBUS-REFINED-126_drive_train_frame_4,Drive train frame 4,传动支架,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=drive_train; role=drive_train_frame; coordinates are in Final Assembly global mm.,180.005×118.005×804.005 mm,180.004614,118.004614,804.004614,1366.253,aluminum_steel_motor_assembly_estimate,+Z,refined_coordinate_steps/drive_train/126_drive_train_frame__inst004.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.,0.0,,,,,传动机构,机构分系统,Airbus STEP refined coordinate split,180.004614,118.004614,804.004614,329.633093,599.5,407.035458,,,,21241.374993,,,180.004614,118.004614,804.004614,refined_coordinate_steps/drive_train/126_drive_train_frame__inst004.step,refined_coordinate_steps/drive_train/126_drive_train_frame__inst004.step,AIRBUS-REFINED-126,refined_coordinate_steps/drive_train/126_drive_train_frame__inst004.step,
AIRBUS-REFINED-127_drive_train_mounted_device_1,Drive train mounted device 1,传动安装器件,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=drive_train; role=drive_train_mounted_device; coordinates are in Final Assembly global mm.,583.294×180.000×200.000 mm,583.294341,180.000073,200.000073,1679.889,aluminum_steel_motor_assembly_estimate,+Z,refined_coordinate_steps/drive_train/127_drive_train_mounted_device__inst001.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.,4.0,,,,,传动机构,机构分系统,Airbus STEP refined coordinate split,583.294341,180.000073,200.000073,346.647134,329.633093,105.035458,,,,104993.02396,,,583.294341,180.000073,200.000073,refined_coordinate_steps/drive_train/127_drive_train_mounted_device__inst001.step,refined_coordinate_steps/drive_train/127_drive_train_mounted_device__inst001.step,AIRBUS-REFINED-127,refined_coordinate_steps/drive_train/127_drive_train_mounted_device__inst001.step,
AIRBUS-REFINED-128_drive_train_mounted_device_2,Drive train mounted device 2,传动安装器件,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=drive_train; role=drive_train_mounted_device; coordinates are in Final Assembly global mm.,180.000×583.294×200.000 mm,180.000073,583.294341,200.000073,1679.889,aluminum_steel_motor_assembly_estimate,+Z,refined_coordinate_steps/drive_train/128_drive_train_mounted_device__inst002.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.,4.0,,,,,传动机构,机构分系统,Airbus STEP refined coordinate split,180.000073,583.294341,200.000073,870.366907,346.647134,105.035458,,,,104993.02396,,,180.000073,583.294341,200.000073,refined_coordinate_steps/drive_train/128_drive_train_mounted_device__inst002.step,refined_coordinate_steps/drive_train/128_drive_train_mounted_device__inst002.step,AIRBUS-REFINED-128,refined_coordinate_steps/drive_train/128_drive_train_mounted_device__inst002.step,
AIRBUS-REFINED-129_drive_train_mounted_device_3,Drive train mounted device 3,传动安装器件,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=drive_train; role=drive_train_mounted_device; coordinates are in Final Assembly global mm.,583.294×180.000×200.000 mm,583.294341,180.000073,200.000073,1679.889,aluminum_steel_motor_assembly_estimate,+Z,refined_coordinate_steps/drive_train/129_drive_train_mounted_device__inst003.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.,4.0,,,,,传动机构,机构分系统,Airbus STEP refined coordinate split,583.294341,180.000073,200.000073,853.352866,870.366907,105.035458,,,,104993.02396,,,583.294341,180.000073,200.000073,refined_coordinate_steps/drive_train/129_drive_train_mounted_device__inst003.step,refined_coordinate_steps/drive_train/129_drive_train_mounted_device__inst003.step,AIRBUS-REFINED-129,refined_coordinate_steps/drive_train/129_drive_train_mounted_device__inst003.step,
AIRBUS-REFINED-130_drive_train_mounted_device_4,Drive train mounted device 4,传动安装器件,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=drive_train; role=drive_train_mounted_device; coordinates are in Final Assembly global mm.,180.000×587.826×201.726 mm,180.000073,587.825913,201.726332,1707.552,aluminum_steel_motor_assembly_estimate,+Z,refined_coordinate_steps/drive_train/130_drive_train_mounted_device__inst004.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.,4.0,,,,,传动机构,机构分系统,Airbus STEP refined coordinate split,180.000073,587.825913,201.726332,329.633093,855.618652,105.898588,,,,105808.707251,,,180.000073,587.825913,201.726332,refined_coordinate_steps/drive_train/130_drive_train_mounted_device__inst004.step,refined_coordinate_steps/drive_train/130_drive_train_mounted_device__inst004.step,AIRBUS-REFINED-130,refined_coordinate_steps/drive_train/130_drive_train_mounted_device__inst004.step,
AIRBUS-REFINED-172_fuel_tank_cold_gas_v3,Fuel Tank (Cold Gas) v3,燃料储存罐,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=fuel_tanks; role=fuel_tank; coordinates are in Final Assembly global mm.,200.000×200.000×800.000 mm,200.0,200.0,800.0,1600.0,composite_or_aluminum_pressure_vessel_estimate,+Z,refined_coordinate_steps/fuel_tanks/172_fuel_tank__fuel_tank_cold_gas_v3_1__inst001.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.,0.0,,,,,燃料储存罐,推进分系统,Airbus STEP refined coordinate split,200.0,200.0,800.0,125.0,975.0,450.0,,,,40000.0,,,200.0,200.0,800.0,refined_coordinate_steps/fuel_tanks/172_fuel_tank__fuel_tank_cold_gas_v3_1__inst001.step,refined_coordinate_steps/fuel_tanks/172_fuel_tank__fuel_tank_cold_gas_v3_1__inst001.step,AIRBUS-REFINED-172,refined_coordinate_steps/fuel_tanks/172_fuel_tank__fuel_tank_cold_gas_v3_1__inst001.step,
AIRBUS-REFINED-173_fuel_tank_cold_gas_v3,Fuel Tank (Cold Gas) v3,燃料储存罐,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=fuel_tanks; role=fuel_tank; coordinates are in Final Assembly global mm.,200.000×200.000×800.000 mm,200.0,200.0,800.0,1600.0,composite_or_aluminum_pressure_vessel_estimate,+Z,refined_coordinate_steps/fuel_tanks/173_fuel_tank__fuel_tank_cold_gas_v3_2__inst002.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.,0.0,,,,,燃料储存罐,推进分系统,Airbus STEP refined coordinate split,200.0,200.0,800.0,1075.0,225.0,450.0,,,,40000.0,,,200.0,200.0,800.0,refined_coordinate_steps/fuel_tanks/173_fuel_tank__fuel_tank_cold_gas_v3_2__inst002.step,refined_coordinate_steps/fuel_tanks/173_fuel_tank__fuel_tank_cold_gas_v3_2__inst002.step,AIRBUS-REFINED-173,refined_coordinate_steps/fuel_tanks/173_fuel_tank__fuel_tank_cold_gas_v3_2__inst002.step,
AIRBUS-REFINED-174_alba_orbital_pocketqube_launch_mechanism_v3,Alba Orbital PocketQube Launch Mechanism v3,PocketQube释放机构,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=pocketqube_launchers; role=pocketqube_launcher; coordinates are in Final Assembly global mm.,70.000×70.000×350.000 mm,70.0,70.0,350.0,34.3,aluminum_6061_estimate,+Z,refined_coordinate_steps/pocketqube_launchers/174_pocketqube_launcher__alba_orbital_pocketqube_launch_mechanism_v__inst001.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.,0.5,,,,,载荷/机构,载荷分系统,Airbus STEP refined coordinate split,70.0,70.0,350.0,194.856251,699.856251,735.0,,,,4900.0,,,70.0,70.0,350.0,refined_coordinate_steps/pocketqube_launchers/174_pocketqube_launcher__alba_orbital_pocketqube_launch_mechanism_v__inst001.step,refined_coordinate_steps/pocketqube_launchers/174_pocketqube_launcher__alba_orbital_pocketqube_launch_mechanism_v__inst001.step,AIRBUS-REFINED-174,refined_coordinate_steps/pocketqube_launchers/174_pocketqube_launcher__alba_orbital_pocketqube_launch_mechanism_v__inst001.step,
AIRBUS-REFINED-175_alba_orbital_pocketqube_launch_mechanism_v3,Alba Orbital PocketQube Launch Mechanism v3,PocketQube释放机构,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=pocketqube_launchers; role=pocketqube_launcher; coordinates are in Final Assembly global mm.,70.000×70.000×350.000 mm,70.0,70.0,350.0,34.3,aluminum_6061_estimate,+Z,refined_coordinate_steps/pocketqube_launchers/175_pocketqube_launcher__alba_orbital_pocketqube_launch_mechanism_v__inst002.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.,0.5,,,,,载荷/机构,载荷分系统,Airbus STEP refined coordinate split,70.0,70.0,350.0,194.856251,799.856251,735.0,,,,4900.0,,,70.0,70.0,350.0,refined_coordinate_steps/pocketqube_launchers/175_pocketqube_launcher__alba_orbital_pocketqube_launch_mechanism_v__inst002.step,refined_coordinate_steps/pocketqube_launchers/175_pocketqube_launcher__alba_orbital_pocketqube_launch_mechanism_v__inst002.step,AIRBUS-REFINED-175,refined_coordinate_steps/pocketqube_launchers/175_pocketqube_launcher__alba_orbital_pocketqube_launch_mechanism_v__inst002.step,
AIRBUS-REFINED-176_alba_orbital_pocketqube_launch_mechanism_v3,Alba Orbital PocketQube Launch Mechanism v3,PocketQube释放机构,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=pocketqube_launchers; role=pocketqube_launcher; coordinates are in Final Assembly global mm.,70.000×70.000×350.000 mm,70.0,70.0,350.0,34.3,aluminum_6061_estimate,+Z,refined_coordinate_steps/pocketqube_launchers/176_pocketqube_launcher__alba_orbital_pocketqube_launch_mechanism_v__inst003.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.,0.5,,,,,载荷/机构,载荷分系统,Airbus STEP refined coordinate split,70.0,70.0,350.0,194.856251,599.856251,735.0,,,,4900.0,,,70.0,70.0,350.0,refined_coordinate_steps/pocketqube_launchers/176_pocketqube_launcher__alba_orbital_pocketqube_launch_mechanism_v__inst003.step,refined_coordinate_steps/pocketqube_launchers/176_pocketqube_launcher__alba_orbital_pocketqube_launch_mechanism_v__inst003.step,AIRBUS-REFINED-176,refined_coordinate_steps/pocketqube_launchers/176_pocketqube_launcher__alba_orbital_pocketqube_launch_mechanism_v__inst003.step,
